mem,buffer_size,percent_buffer_size,ingestion_rate
yes,1,0.0048,0.013
yes,250,1.2048,4.18
yes,500,2.4096,4.24
yes,1037,4.9976,4.27
yes,2075,10,4.28
yes,3458,16.6651,4.27
yes,5187,24.9976,4.26
yes,6916,33.3301,4.24
yes,10375,50,4.21
yes,20750,100,4.09
yes,41500,200,3.89
no,1,0.00481927710843373,0.002
no,250,1.20481927710843,0.44
no,500,2.40963855421687,0.88
no,1037,4.99759036144578,1.60
no,2075,10,2.00
no,3458,16.6650602409639,2.48
no,5187,24.9975903614458,2.89
no,6916,33.3301204819277,2.91
no,10375,50,3.01
no,20750,100,2.87
no,41500,200,3.14
