alg,nodes,ingestion_rate,cc_time
stream_mem,8192,5220000,0.11
stream_mem,32768,4870000,0.54
stream_mem,65536,4510000,1.21
stream_mem,131072,4240000,2.75
stream_mem,262144,2490000,318.16
stream_ext,8192,3930000,0.02
stream_ext,32768,3770000,0.10
stream_ext,65536,3590000,0.22
stream_ext,131072,3260000,0.44
stream_ext,262144,2500000,97.5
aspen_lim_e3,8192,4982400 ,0
aspen_lim_e3,32768,3540570,0
aspen_lim_e3,65536,2543120,0
aspen_lim_e3,131072,1899720,0
aspen_lim_e3,262144,11337.5,0
terrace_lim,8192,137929,0
terrace_lim,32768,132723,0
terrace_lim,65536,143286,0
terrace_lim,131072,25538.6,0
terrace_lim,262144,0,0



